algoritmo,real_class,pred_class,count,count_normalized
decision_tree,Descartado,Descartado,11307,0.4893
decision_tree,Descartado,Comum,11751,0.5085
decision_tree,Descartado,Alerta/Grave,50,0.0022
decision_tree,Comum,Descartado,7556,0.2625
decision_tree,Comum,Comum,21136,0.7343
decision_tree,Comum,Alerta/Grave,92,0.0032
decision_tree,Alerta/Grave,Descartado,110,0.3427
decision_tree,Alerta/Grave,Comum,200,0.6231
decision_tree,Alerta/Grave,Alerta/Grave,11,0.0343
random_forest,Descartado,Descartado,11084,0.4797
random_forest,Descartado,Comum,12017,0.5200
random_forest,Descartado,Alerta/Grave,7,0.0003
random_forest,Comum,Descartado,6961,0.2418
random_forest,Comum,Comum,21809,0.7577
random_forest,Comum,Alerta/Grave,14,0.0005
random_forest,Alerta/Grave,Descartado,100,0.3115
random_forest,Alerta/Grave,Comum,219,0.6822
random_forest,Alerta/Grave,Alerta/Grave,2,0.0062
xgboost,Descartado,Descartado,11068,0.4790
xgboost,Descartado,Comum,12038,0.5209
xgboost,Descartado,Alerta/Grave,2,0.0001
xgboost,Comum,Descartado,6593,0.2291
xgboost,Comum,Comum,22188,0.7708
xgboost,Comum,Alerta/Grave,3,0.0001
xgboost,Alerta/Grave,Descartado,89,0.2773
xgboost,Alerta/Grave,Comum,227,0.7072
xgboost,Alerta/Grave,Alerta/Grave,5,0.0156
knn,Descartado,Descartado,11189,0.4842
knn,Descartado,Comum,11919,0.5158
knn,Descartado,Alerta/Grave,0,0.0000
knn,Comum,Descartado,7336,0.2549
knn,Comum,Comum,21448,0.7451
knn,Comum,Alerta/Grave,0,0.0000
knn,Alerta/Grave,Descartado,107,0.3333
knn,Alerta/Grave,Comum,214,0.6667
knn,Alerta/Grave,Alerta/Grave,0,0.0000
stacking,Descartado,Descartado,10943,0.4736
stacking,Descartado,Comum,12162,0.5263
stacking,Descartado,Alerta/Grave,3,0.0001
stacking,Comum,Descartado,6575,0.2284
stacking,Comum,Comum,22205,0.7714
stacking,Comum,Alerta/Grave,4,0.0001
stacking,Alerta/Grave,Descartado,85,0.2648
stacking,Alerta/Grave,Comum,233,0.7259
stacking,Alerta/Grave,Alerta/Grave,3,0.0093
rna_committee,Descartado,Descartado,12033,0.5207
rna_committee,Descartado,Comum,11074,0.4792
rna_committee,Descartado,Alerta/Grave,1,0.0000
rna_committee,Comum,Descartado,7657,0.2660
rna_committee,Comum,Comum,21127,0.7340
rna_committee,Comum,Alerta/Grave,0,0.0000
rna_committee,Alerta/Grave,Descartado,110,0.3427
rna_committee,Alerta/Grave,Comum,211,0.6573
rna_committee,Alerta/Grave,Alerta/Grave,0,0.0000
mlp,Descartado,Descartado,11409,0.4937
mlp,Descartado,Comum,11696,0.5061
mlp,Descartado,Alerta/Grave,3,0.0001
mlp,Comum,Descartado,7113,0.2471
mlp,Comum,Comum,21664,0.7526
mlp,Comum,Alerta/Grave,7,0.0002
mlp,Alerta/Grave,Descartado,100,0.3115
mlp,Alerta/Grave,Comum,217,0.6760
mlp,Alerta/Grave,Alerta/Grave,4,0.0125
lvq,Descartado,Descartado,9614,0.4160
lvq,Descartado,Comum,13269,0.5742
lvq,Descartado,Alerta/Grave,225,0.0097
lvq,Comum,Descartado,5567,0.1934
lvq,Comum,Comum,22957,0.7976
lvq,Comum,Alerta/Grave,260,0.0090
lvq,Alerta/Grave,Descartado,60,0.1869
lvq,Alerta/Grave,Comum,249,0.7757
lvq,Alerta/Grave,Alerta/Grave,12,0.0374
lightgbm,Descartado,Descartado,11443,0.4952
lightgbm,Descartado,Comum,11647,0.5040
lightgbm,Descartado,Alerta/Grave,18,0.0008
lightgbm,Comum,Descartado,7141,0.2481
lightgbm,Comum,Comum,21613,0.7509
lightgbm,Comum,Alerta/Grave,30,0.0010
lightgbm,Alerta/Grave,Descartado,107,0.3333
lightgbm,Alerta/Grave,Comum,207,0.6449
lightgbm,Alerta/Grave,Alerta/Grave,7,0.0218
svm,Descartado,Descartado,9276,0.4014
svm,Descartado,Comum,13832,0.5986
svm,Descartado,Alerta/Grave,0,0.0000
svm,Comum,Descartado,6006,0.2087
svm,Comum,Comum,22778,0.7913
svm,Comum,Alerta/Grave,0,0.0000
svm,Alerta/Grave,Descartado,91,0.2835
svm,Alerta/Grave,Comum,230,0.7165
svm,Alerta/Grave,Alerta/Grave,0,0.0000
