variant,algoritmo,f1_macro_cv,f1_macro_cv_search,recall_alerta_grave,recall_descartado,recall_comum
v1_baseline,lightgbm,0.4264,0.4264,0.0218,0.4952,0.7509
v1_baseline,xgboost,0.4246,0.4246,0.0156,0.479,0.7708
v1_baseline,decision_tree,0.4223,0.4221,0.0343,0.4893,0.7343
v1_baseline,mlp,0.4218,0.4215,0.0125,0.4937,0.7526
v1_baseline,stacking,0.4188,0.4182,0.0093,0.4736,0.7714
v1_baseline,rna_committee,0.4171,0.416,0.0,0.5207,0.734
v1_baseline,random_forest,0.4144,0.4144,0.0062,0.4797,0.7577
v1_baseline,lvq,0.4114,0.4111,0.0374,0.416,0.7976
v1_baseline,knn,0.408,0.4079,0.0,0.4842,0.7451
v1_baseline,svm,0.3921,0.3921,0.0,0.4014,0.7913
v2_smote,lightgbm,0.4409,0.4413,0.0779,0.6476,0.6153
v2_smote,xgboost,0.4334,0.4369,0.0623,0.6262,0.6307
v2_smote,random_forest,0.4271,0.4281,0.0374,0.6352,0.6222
v2_smote,stacking,0.4257,0.4268,0.0436,0.6349,0.6122
v2_smote,rna_committee,0.4253,0.4256,0.0997,0.6461,0.5892
v2_smote,decision_tree,0.4215,0.4231,0.0717,0.6386,0.5892
v2_smote,mlp,0.4208,0.4207,0.0966,0.6416,0.5818
v2_smote,knn,0.4167,0.4166,0.109,0.5159,0.6801
v2_smote,lvq,0.3738,0.372,0.5639,0.4759,0.4948
v2_smote,svm,0.3676,0.3672,0.5794,0.4596,0.4954
v3_target_enc,lightgbm,0.4269,0.4265,0.0218,0.4598,0.7876
v3_target_enc,xgboost,0.4237,0.4231,0.0156,0.4797,0.7678
v3_target_enc,stacking,0.4189,0.4187,0.0062,0.5003,0.7485
v3_target_enc,decision_tree,0.4167,0.4165,0.0156,0.4782,0.7507
v3_target_enc,lvq,0.4147,0.4145,0.053,0.4115,0.8003
v3_target_enc,mlp,0.4143,0.4141,0.0062,0.472,0.7654
v3_target_enc,random_forest,0.4142,0.4142,0.0,0.4846,0.7639
v3_target_enc,rna_committee,0.4125,0.4123,0.0,0.481,0.7625
v3_target_enc,knn,0.4074,0.4072,0.0,0.4783,0.75
v3_target_enc,svm,0.3994,0.3993,0.0093,0.4019,0.7947
v4_selectk,xgboost,0.4105,0.4084,0.0156,0.454,0.7589
v4_selectk,lightgbm,0.406,0.4142,0.0062,0.4616,0.7528
v4_selectk,decision_tree,0.4047,0.4079,0.0031,0.442,0.7761
v4_selectk,lvq,0.4022,0.399,0.0062,0.4173,0.793
v4_selectk,rna_committee,0.4012,0.4042,0.0,0.4292,0.7867
v4_selectk,random_forest,0.4007,0.4067,0.0,0.419,0.7971
v4_selectk,mlp,0.4003,0.4036,0.0,0.4313,0.7814
v4_selectk,knn,0.3965,0.4054,0.0,0.5402,0.6526
v4_selectk,stacking,0.3957,0.4051,0.0,0.3993,0.8056
v4_selectk,svm,0.3832,0.3903,0.0,0.357,0.8194
