rank,algoritmo,run_name,f1_macro_cv,f1_macro_cv_search,f1_macro_cv_search_std,recall_descartado,recall_comum,recall_alerta_grave,search_method
1,lightgbm,lightgbm_v3_target_enc,0.4269,0.4265,0.0145,0.4598,0.7876,0.0218,random
2,xgboost,xgboost_v3_target_enc,0.4237,0.4231,0.0118,0.4797,0.7678,0.0156,random
3,stacking,stacking_v3_target_enc,0.4189,0.4187,0.0041,0.5003,0.7485,0.0062,grid
4,decision_tree,decision_tree_v3_target_enc,0.4167,0.4165,0.0089,0.4782,0.7507,0.0156,grid
5,lvq,lvq_v3_target_enc,0.4147,0.4145,0.0023,0.4115,0.8003,0.0530,grid
6,mlp,mlp_v3_target_enc,0.4143,0.4141,0.0034,0.4720,0.7654,0.0062,random
7,random_forest,random_forest_v3_target_enc,0.4142,0.4142,0.0025,0.4846,0.7639,0.0000,random
8,rna_committee,rna_committee_v3_target_enc,0.4125,0.4123,0.0038,0.4810,0.7625,0.0000,random
9,knn,knn_v3_target_enc,0.4074,0.4072,0.0047,0.4783,0.7500,0.0000,grid
10,svm,svm_v3_target_enc,0.3994,0.3993,0.0059,0.4019,0.7947,0.0093,random
