variante,algoritmo,n_folds,v1_mean,var_mean,delta,wilcoxon_stat,p_value,rank_biserial,n_nonzero,p_adj_holm,significant_005
v2_smote,decision_tree,5,0.421062,0.423337,0.002275,5.000000,0.625000,0.333333,5,1.000000,False
v2_smote,knn,5,0.407932,0.416613,0.008681,0.000000,0.062500,1.000000,5,0.625000,False
v2_smote,lightgbm,5,0.426354,0.441344,0.014990,0.000000,0.062500,1.000000,5,0.625000,False
v2_smote,lvq,5,0.411072,0.371869,-0.039203,0.000000,0.062500,-1.000000,5,0.625000,False
v2_smote,mlp,5,0.421463,0.420828,-0.000636,7.000000,1.000000,-0.066667,5,1.000000,False
v2_smote,random_forest,5,0.414256,0.428204,0.013948,0.000000,0.062500,1.000000,5,0.625000,False
v2_smote,rna_committee,5,0.416007,0.423241,0.007235,1.000000,0.125000,0.866667,5,0.625000,False
v2_smote,stacking,5,0.419853,0.426245,0.006392,2.000000,0.187500,0.733333,5,0.625000,False
v2_smote,svm,5,0.396320,0.368406,-0.027914,0.000000,0.062500,-1.000000,5,0.625000,False
v2_smote,xgboost,5,0.420392,0.436694,0.016302,0.000000,0.062500,1.000000,5,0.625000,False
v3_target_enc,decision_tree,5,0.421062,0.416488,-0.004574,6.000000,0.812500,-0.200000,5,1.000000,False
v3_target_enc,knn,5,0.407932,0.407248,-0.000684,6.000000,0.812500,-0.200000,5,1.000000,False
v3_target_enc,lightgbm,5,0.426354,0.426508,0.000154,6.000000,0.812500,-0.200000,5,1.000000,False
v3_target_enc,lvq,5,0.411072,0.414481,0.003410,2.000000,0.187500,0.733333,5,1.000000,False
v3_target_enc,mlp,5,0.421463,0.414118,-0.007346,3.000000,0.312500,-0.600000,5,1.000000,False
v3_target_enc,random_forest,5,0.414256,0.414177,-0.000079,7.000000,1.000000,-0.066667,5,1.000000,False
v3_target_enc,rna_committee,5,0.416007,0.412335,-0.003672,4.000000,0.437500,-0.466667,5,1.000000,False
v3_target_enc,stacking,5,0.419853,0.418703,-0.001150,7.000000,1.000000,0.066667,5,1.000000,False
v3_target_enc,svm,5,0.396320,0.399296,0.002976,2.000000,0.187500,0.733333,5,1.000000,False
v3_target_enc,xgboost,5,0.420392,0.423145,0.002752,6.000000,0.812500,0.200000,5,1.000000,False
v4_selectk,decision_tree,5,0.421062,0.407914,-0.013148,1.000000,0.125000,-0.866667,5,0.750000,False
v4_selectk,knn,5,0.407932,0.405436,-0.002496,3.000000,0.312500,-0.600000,5,0.750000,False
v4_selectk,lightgbm,5,0.426354,0.414157,-0.012197,2.000000,0.187500,-0.733333,5,0.750000,False
v4_selectk,lvq,5,0.411072,0.399049,-0.012023,1.000000,0.125000,-0.866667,5,0.750000,False
v4_selectk,mlp,5,0.421463,0.403578,-0.017885,1.000000,0.125000,-0.866667,5,0.750000,False
v4_selectk,random_forest,5,0.414256,0.406702,-0.007554,0.000000,0.062500,-1.000000,5,0.625000,False
v4_selectk,rna_committee,5,0.416007,0.404191,-0.011816,0.000000,0.062500,-1.000000,5,0.625000,False
v4_selectk,stacking,5,0.419853,0.405144,-0.014709,0.000000,0.062500,-1.000000,5,0.625000,False
v4_selectk,svm,5,0.396320,0.390335,-0.005985,0.000000,0.062500,-1.000000,5,0.625000,False
v4_selectk,xgboost,5,0.420392,0.408424,-0.011968,1.000000,0.125000,-0.866667,5,0.750000,False
